Country,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States ,55366,58092,61048,61132,61634,61347,62263,63845,63942,64618,65303,66383,69392
Iceland ,53810,61187,51234,53452,53137,53966,54736,58377,62949,69051,72466,70391,67488
Luxembourg ,57100,59505,63917,62955,62451,63058,65379,66247,66393,67393,67448,66840,65854
Switzerland ,56529,61063,63277,63533,64582,65431,65548,65910,65453,65151,64963,65906,64824
Netherlands ,52371,54565,57959,57601,57835,58035,57729,58403,58604,58171,57581,57475,58828
Denmark ,46360,50879,54928,54644,54570,54925,55976,56960,57043,57355,57794,57967,58430
Norway ,38647,44438,50586,42347,53777,54853,55121,55404,54224,54117,54691,55753,55780
Canada ,44108,45824,50024,50512,51289,51924,52557,52968,52019,52765,53730,54119,55342
Australia ,45201,48615,51957,53601,53919,53672,54085,53636,53724,53437,53515,54021,55206
Belgium ,51922,52969,53969,54520,54951,55503,55809,55427,55526,55130,55388,56022,54237
Germany ,45584,46553,47054,48026,48683,49159,50001,51172,51902,52454,53221,54041,53745
Austria ,47860,49764,52334,51755,52071,52128,52310,52686,53170,53136,53325,53690,53132
Ireland ,36886,42603,49665,49138,48665,47437,47142,47134,47812,48376,48586,49509,49474
United Kingdom ,40207,45369,46863,46036,45455,46036,46156,46647,47181,47146,47229,47937,47147
Sweden ,34389,37650,41534,42161,43080,43552,44066,44719,45423,45681,45917,46418,47020
Finland ,38969,42357,45211,45233,45280,44836,44837,45194,45588,45339,45771,46249,46230
France ,38782,41562,44325,44256,44552,44927,45237,45680,46214,46852,46867,47112,45581
New Zealand ,32992,37372,40279,40281,41147,40637,40794,41503,42862,43148,44121,45092,45269
South Korea ,29238,34242,36140,36617,36082,37006,37105,38143,39266,40216,41624,42297,41960
Slovenia ,28640,33233,36976,36857,35730,35193,35879,36636,38049,38706,39038,40533,41445
Israel ,36276,33774,33455,33754,34300,34556,34636,35627,36921,37903,38811,39537,39322
Japan ,38365,38879,38085,38700,38058,38103,37438,37265,37810,37972,38462,39041,38515
Spain ,38349,37825,41486,40743,39606,39608,39484,40072,39845,39326,39033,39055,37922
Italy ,39175,40350,41194,40534,39255,39378,39531,39878,40193,39934,39985,40145,37769
Poland ,21131,21996,24688,24658,24406,24671,25198,25854,27145,28294,30212,31959,32527
Lithuania ,11927,18261,19742,20177,20517,21321,22268,23715,24982,26382,27572,29695,31811
Estonia ,12744,17661,21991,21483,21808,22327,23528,24633,24932,26417,27920,29948,30720
Czech Republic ,17001,21981,24309,24508,24558,24404,24921,25660,26575,27931,29421,30355,29885
Latvia ,11759,15913,19385,18698,19472,20444,21899,23742,25154,26128,27107,28645,29876
Portugal ,28229,28148,28792,28096,26890,27406,26935,26855,26699,26820,27263,27978,28410
Greece ,27247,32557,32422,30363,28597,26729,26622,26886,26268,26418,26680,27010,27207
Chile ,18686,19034,25246,25384,26201,26876,27099,27082,28252,27605,28574,29579,26729
Hungary ,16213,22097,21664,21942,21211,20988,20713,20873,21063,22587,23722,24472,25410
Slovakia ,14368,16589,19858,19689,19437,19590,19980,20771,21430,22072,22692,23438,23619
Mexico ,16111,17484,16407,16555,16258,16271,16302,16516,16322,16277,16637,16771,16230
